text,label
@ihatecrayons DUDE! You're braver than I am! ,negative
@xtermin8r AUS #1 DJ SHUD B GRACING OUR EARS VERY SOON ,positive
Not sure why Afton is staying up all night. She is NOT on vacation! She just loves chatting with me. ,positive
@jaysinhorror I wasn't able to get any 7&quot;s ,negative
@fallenstar_ Me too  they probs got it 'cause it's close to UCAP as I assume it's gonna be on the UCAP setlist.,negative
just hangin out... I gotta do some cleaning today... ,negative
"Eating one of the kids' Easter Eggs  Oh dear, I have no will power ......",negative
"20 to 2, damn Yankees ",negative
My blog is slow ,negative
my dp in twitpic won't show  suxx,negative
says ayaw magload ng Pet Society haymsad  stupid office computer http://plurk.com/p/n1623,negative
ugh i need to renew the fucking restraining order.  help.,negative
"well did good on first test bombed 2nd one  looks like rest of class did too... finished paper, coglab, and quiz... another test in 7 hrs",negative
Price updating my comics (suddenly lose all of my followers LoL) so far no &quot;jems&quot; ,negative
@aplusk dont listen to @Deltaqte he's an asshole. we all love u ,positive
is finally heading to bed... ,positive
It's a horrible feeling when you want to help someone but you know for a fact theres nothing you can absolutely do ,negative
@Scottcbakken i wanna hear an acceptance speech..... please ,positive
Ill be lucky to get to las by tues ,negative
"Tomorrow the Mom's Day!!, I know what to do for her! :] , My dad can help with with that!. I have to do homeworks  too ",negative
"On the train, ITS FECKIN CRAMMED ",negative
Happy 16th anniversary to my fave Boys! And many more to come... ,positive
"I should be out in the sunshine, but I'm inside working instead ",negative
one of the days .. when you can't seem to focus on anything ,negative
Heyloo.....  i have no clue wat dis is....  Karan since you sent me an invite ...help me out ,positive
"@home, hangover ",negative
@Street3  your tweets were great ,positive
lol i didn't realize that game was gonna fuck me over like that. lol.  scaryyyy berryyyyy.,negative
@Noa_Liberator I didn't get any  but they told us we'll be getting a modest gift this year.,positive
Grooveshark is down ,negative
"figuring out what's up for today, why's it cold? ",negative
Photo: May you rest in peace in pieces.  Our old tree died!!!! (((((((((((( It just collapsed. Thatï¿½s how... http://tumblr.com/xyl1p2v7l,negative
@mikeyway hi mikey! how are u? we want more practice cam  xo,positive
"@VVbrown Might see you in Camden! Spending all afternoon there, then going to KOKO for a gig tonight ",positive
"wow, I am going to miss, #bulls / #celtics, #nascaronfox and the #redsox tonight because go out and there will be no TV's ",negative
"@EandDPortal Those were the crusty days  Jon, Dan Rat, Alex and Matt have been playing the odd gig recently, need to see them again ",positive
Loved RLM today. ,positive
"the weather sucks...made plans for todays afternoon but as it seems, they're wanished...gonna dress up and get a coffe ",positive
@nailmusic do you not just DESPISE the whole self-bio thing? i always feel i have to write a new one every time I need to use it ,positive
Still not feeling very well  I had big plans for the 5 day weekend which ain't going all that well so far,negative
is home from the movies!! we didn't go bowling tonight though... anyways i saw 17 Again! it was really funny ,positive
@judysteapot happy Birthday ,positive
Sadly is not babysitting tonight. Throat and sinus infections prevail. ,negative
its raining  i dont like light rain i like it when it storms light rain just ruins the day  P3AC3.LOV3.JONAS  MARY -------(--(--@ FLOWER,negative
my nap turned into.... oh well up now ,negative
@mattchristopher Great!  Try to get some sleep or .... Better Yet .... You could go get me a Mountain Dew  JK,positive
@kimedia Lovely website. Very &quot;Web 2.0&quot;. ,positive
@alonpeer 10x man  any tips or ideas?,positive
watching Overdose...  and listening to music ,positive
I have some things no one else has...thats enough to be thankful for ,positive
is writing ,positive
my skin is going strong... ,positive
WHERE WERE YOU  for the  Jamison Park Tweetup @pearlgirl ? ,negative
@djdrizzle YEP.. YOU+ (NOT getting at me)= Acting NEW!!! (singing) Brand NEW Brand NEW...tell me if HE's BRAND NEW!! LMAO ,positive
