text,label,source
so proud of everyone today winning tw gqvpyr etjknu kddqvc befbgd,positive,tweet
not worth the money at all rv dpsdgr mbckzp dwczpd gezwds,negative,review
arrived damaged and late rv dfunwm wjsoct novanv rhgkht,negative,review
excellent quality and fast shipping rv egjvfd tewnze fcgfaj wcbjft,positive,review
grateful for good news tw nxktia chvssa yvisby yfpquo,positive,tweet
it works as described rv gzzfci uvfkfz mcdspz urszek,neutral,review
so proud of everyone today winning tw igeffl twdvhn zkxdpv ppgsfu,positive,tweet
lunch was fine tw tphvoj drxtoe cyxkib miduon,neutral,tweet
five stars would buy again rv fotsoa fsfocf bkhvto yqpxdg,positive,review
love this update happy tw killrr ziland lvtgss uurfyj,positive,tweet
perfect fit and great material rv kovgdn atjhsw zdygym qzuwcp,positive,review
weather looks okay today tw hpspak qdmyet kcqpot xicomy,neutral,tweet
lunch was fine tw abuwhp bbhyhe eqkkmy uvmaqy,neutral,tweet
worst service ever tw jxpygr xebegn rwiyrl louwdn,negative,tweet
arrived damaged and late rv dbchrv eofcby kdhhim bdrjfe,negative,review
delivery took about a week rv ifdamx horvcp ywajrw xhzmiu,neutral,review
not happy with this outcome angry tw kzrray bndmok moobbf rvyjwf,negative,tweet
refund process was a nightmare rv nshctn hazhtt kcnxpb jkbwkx,negative,review
lunch was fine tw ekyemy kjvxnt mrclpv xsahtf,neutral,tweet
disappointed again fail tw nmeluj hvmvwd pfdhdj lctkdl,negative,tweet
grateful for good news tw mnkoaf oswgoc ikwuwz fwxdcd,positive,tweet
this is amazing work tw bgoxyd qvgpmv jkfuxb xrqdip,positive,tweet
worst service ever tw zelrfz hrnrob aotjuf abpiti,negative,tweet
five stars would buy again rv kkbooi wbmlot klclmf gsfxat,positive,review
terrible experience today tw zghqcn xojfxg hnfthj jsougi,negative,tweet
excellent quality and fast shipping rv ttfajl pwwzhz lhehnn cqlbpm,positive,review
delivery took about a week rv apdxvk qazasp ciubrn ghfgjg,neutral,review
grateful for good news tw unftez ggzbsl ritrfk wjjsiq,positive,tweet
refund process was a nightmare rv gibtcr zlqall rxcxxz dkoiiw,negative,review
perfect fit and great material rv estaoi upeytn nsjcyo stmpar,positive,review
disappointed again fail tw nddlsj bqedlj ljjpaz eezsnb,negative,tweet
grateful for good news tw ycdite cumjhh xjouee qfabvl,positive,tweet
arrived damaged and late rv wiegjv jpgvbl xvpwvo pdytzw,negative,review
customer service resolved everything quickly rv krqdmk ywafli yjpeid tdnkub,positive,review
stopped working after two days rv fzrncp wrsfkz odjbek bvhrkw,negative,review
terrible experience today tw qlbnpm fldkvh rydjjp jigaxu,negative,tweet
stopped working after two days rv hnkjad rduzjj ifjyri evvafw,negative,review
grateful for good news tw xlgnuq effhti gdfvzs byrour,positive,tweet
reading the news tw ygprhb ngtvmg qjlems nsjiht,neutral,tweet
poor quality and misleading description rv pwcytg npqlpm jngtch rzcbup,negative,review
five stars would buy again rv scfznr mywjxt zrnipr nzqvne,positive,review
meeting at pm work tw nmnenp akldjh ppmsgm nhjhtz,neutral,tweet
meeting at pm work tw whoxnl clrqcl upthoz nhserh,neutral,tweet
it works as described rv icicgy cqddru djakcw whfkud,neutral,review
reading the news tw uynulh inbynb kymagv xlmoth,neutral,tweet
this is amazing work tw ravxdv ryiyuk djnfoa xxiqyf,positive,tweet
this is unacceptable tw gtqzkv kuiywo ihvkkg otkawe,negative,tweet
lunch was fine tw kgpxmx komtyf pprtjz vhctda,neutral,tweet
it works as described rv mjopbx sanvvp ndrhyo mextla,neutral,review
neutral experience overall rv dertnf fvzbnr ufjgfh gvyhbz,neutral,review
lunch was fine tw dlzcxz hxckfq kiouxq vycwwk,neutral,tweet
five stars would buy again rv npkpvc fgmscj tmcyuv cfqpvs,positive,review
this is unacceptable tw afknmf dernpx cmgegj nwvpft,negative,tweet
this is unacceptable tw jmmdty nhtzvt aomozn ttdkuv,negative,tweet
not happy with this outcome angry tw pdmjot xjvohr njngcz pvlfav,negative,tweet
meeting at pm work tw docpgd rsgtpj sasndx oyugsz,neutral,tweet
weather looks okay today tw qntmmc bdymqg ccvgtk abcmqb,neutral,tweet
arrived damaged and late rv chnvrc jsrbel huaqig pxmttf,negative,review
best day ever blessed tw cwjhik krceeh mwewgc nnkron,positive,tweet
refund process was a nightmare rv cqxllt jaxost zehajz ylxzge,negative,review
train delayed as usual tw empmpf yaswlo ssfoap vslkcl,neutral,tweet
neutral experience overall rv avfbhx sefdhc pbctwk rmngsy,neutral,review
refund process was a nightmare rv fhkwys malhae xmcxrj aelpro,negative,review
meeting at pm work tw qeewpy bbtzgx vjltnf nffqex,neutral,tweet
arrived damaged and late rv ysycti zujlil ntpetm lkmdtf,negative,review
so proud of everyone today winning tw ejvzxu larred bastmr rcjgxx,positive,tweet
lunch was fine tw keitci dmrmac gzipor siqsng,neutral,tweet
this is unacceptable tw mmsyua puqyem hhxxgp hqszry,negative,tweet
not happy with this outcome angry tw yapoqp sxknlz jjfbwt xjxzsi,negative,tweet
love this update happy tw dnspzs voftmy ltavxe ppdnob,positive,tweet
worst service ever tw skbrwh bwiiav lrwbth ldcqod,negative,tweet
train delayed as usual tw hneziq hklvbl jfzsmx brwbup,neutral,tweet
disappointed again fail tw hcidrd vrncku clkyie zhiadm,negative,tweet
not worth the money at all rv dznejr naoajo ueynma eglzcl,negative,review
meeting at pm work tw gyagny uyeosz yxeuzj mheaho,neutral,tweet
meeting at pm work tw tsnfli gqiqap kfbuhw jionkb,neutral,tweet
weather looks okay today tw oagfvd ctfamd hynhqv keoprs,neutral,tweet
poor quality and misleading description rv jsamfp szmafi flobhy ghvetz,negative,review
it works as described rv nwklfh sdpyva gxhlha ybjtwz,neutral,review
lunch was fine tw ndaves vyaqoc qfoiws mzruxb,neutral,tweet
weather looks okay today tw dyixxi iuqknv ilcadw zphsph,neutral,tweet
five stars would buy again rv iehlyw sdifmd jbviur sghzfn,positive,review
not happy with this outcome angry tw wxbyfp xmjvfa rmknvp lymmcq,negative,tweet
stopped working after two days rv fatlnp hggeww twpgzv egsmji,negative,review
average product for the category rv imlifx mqhmqy iyhpoc izagjz,neutral,review
five stars would buy again rv qqvirx mztssn sqqyey wtbjkp,positive,review
five stars would buy again rv dyowge otrblw xsvlua hvycba,positive,review
poor quality and misleading description rv htrnfe ciblcg crmmbj pjohgr,negative,review
worst service ever tw jgbsqw ktdnzo szzljd apveov,negative,tweet
neutral experience overall rv hkgycg xdqiln aktthj veheex,neutral,review
not worth the money at all rv nrptga ygaezq kgfofp ymnsrz,negative,review
excellent quality and fast shipping rv opibyw hpqiwv ewgvgs jjswlh,positive,review
stopped working after two days rv glxqfb dmzgbc yxkspu uefiee,negative,review
worst service ever tw jtkjla qsvveb hqrbnl ggugzc,negative,tweet
perfect fit and great material rv izftvn rqeoxy msvpvu bibslh,positive,review
five stars would buy again rv durzyy mfmodh nrjyda cgevqz,positive,review
average product for the category rv pmtkrz zjjjea efziwr eirrmg,neutral,review
customer service resolved everything quickly rv riysgo rvjnos bqypxa udqpfn,positive,review
so proud of everyone today winning tw ucxcaq uassmy sgbrir rpuyel,positive,tweet
terrible experience today tw oepiff atdfjd rxmfcv yavieo,negative,tweet
disappointed again fail tw bknigk ybegrx kyvbhp czstwy,negative,tweet
excellent quality and fast shipping rv efydol qqxhso qloarf bzairb,positive,review
this is amazing work tw otpsmr qwnrbz lwzrtu cdyhvv,positive,tweet
not worth the money at all rv lllray vxszlp xtjplq dunmbe,negative,review
delivery took about a week rv icezuh ekjnac rtczdg zjxxhi,neutral,review
best day ever blessed tw pkplrz xijdsv rmmlyz ejbjwc,positive,tweet
not worth the money at all rv hxdyfz vgdkkk ubvyko vbleuc,negative,review
worst service ever tw nrprrp rrhmcs wnqsyw zxhwch,negative,tweet
worst service ever tw moyvxh xvsygq kvwfkr avacan,negative,tweet
not worth the money at all rv ogvony pdyale sqvopa oujltx,negative,review
grateful for good news tw zeebjp weywpo tacaig erxtqn,positive,tweet
neutral experience overall rv itepfq btagdo rqhzvz mzihxc,neutral,review
perfect fit and great material rv ykgzvo pitwfm nuvgft xknhif,positive,review
not worth the money at all rv fytygs bwoohx peskiu zlvuva,negative,review
so proud of everyone today winning tw rubqbc vbyane uhcwea gqolbt,positive,tweet
average product for the category rv eerlwm fyyqho ezhpvf fkysgd,neutral,review
best day ever blessed tw owiylf ttxwdy fjdsaj svmmwg,positive,tweet
perfect fit and great material rv ljtcio ojiphy luglye joqxxx,positive,review
this is amazing work tw wsmysb ftkzth usdpek xchlkf,positive,tweet
not worth the money at all rv qeeeei bbkhse fvfblm euadvx,negative,review
this is amazing work tw vumlqz xvfaet vzobec hyullm,positive,tweet
meeting at pm work tw atbaia jomxsf dblgug nxlcin,neutral,tweet
excellent quality and fast shipping rv meniff etpkqs cobzwi xxlied,positive,review
this is unacceptable tw nnoqzv laoeya wzqcck kmyfnb,negative,tweet
terrible experience today tw gbzppb inddof tksmhs ajauzs,negative,tweet
